timestamp,browser,browserVersion,os,gpu,cores,memGB,videoFile,resolution,fps,hasAudio,sizeMB,iframes,pframes,bframes,iframeMultiplier,durationSec,seekPattern,seekIndex,fromTimeSec,toTimeSec,seekDistanceSec,seekTimeMs,estimatedFrameIndex,seekDriftSec,jsHeapUsedMB,isColdStart,isStall,tabInterrupted,mean,median,p95,p99,stdDev,min,max,seekFPS,consistencyScore,degradationFactor,linearSlope,r2
2026-04-20T15:10:41.729Z,Chrome,144.0.0.0,Linux unknown,"ANGLE (AMD, AMD Radeon 890M Graphics (radeonsi gfx1150 LLVM 20.1.8), OpenGL ES 3.2)",24,8,bbb_sunflower_1min_480p_30fps_normal.mp4,480p,30,true,10,12,623,1165,1,60,frame,0,0,0,0,5.699999995529652,0,0,0,true,false,false,48.843031649073914,41.70000000298023,111.89999999850988,185.20000000298023,36.55810671513722,2,326.09999999403954,20.473749606387518,25.151847703068654,4.441247002152141,-0.0026477759406384536,0.0014178853535607994
2026-04-20T15:10:41.729Z,Chrome,144.0.0.0,Linux unknown,"ANGLE (AMD, AMD Radeon 890M Graphics (radeonsi gfx1150 LLVM 20.1.8), OpenGL ES 3.2)",24,8,bbb_sunflower_1min_480p_30fps_normal.mp4,480p,30,true,10,12,623,1165,1,60,frame,1,0,0.03333333333333333,0.03333333333333333,28.200000002980232,1,0,0,false,false,false,48.843031649073914,41.70000000298023,111.89999999850988,185.20000000298023,36.55810671513722,2,326.09999999403954,20.473749606387518,25.151847703068654,4.441247002152141,-0.0026477759406384536,0.0014178853535607994
2026-04-20T15:10:41.729Z,Chrome,144.0.0.0,Linux unknown,"ANGLE (AMD, AMD Radeon 890M Graphics (radeonsi gfx1150 LLVM 20.1.8), OpenGL ES 3.2)",24,8,bbb_sunflower_1min_480p_30fps_normal.mp4,480p,30,true,10,12,623,1165,1,60,frame,2,0.03333333333333333,0.06666666666666667,0.03333333333333333,7.100000001490116,2,0,0,false,false,false,48.843031649073914,41.70000000298023,111.89999999850988,185.20000000298023,36.55810671513722,2,326.09999999403954,20.473749606387518,25.151847703068654,4.441247002152141,-0.0026477759406384536,0.0014178853535607994
2026-04-20T15:10:41.729Z,Chrome,144.0.0.0,Linux unknown,"ANGLE (AMD, AMD Radeon 890M Graphics (radeonsi gfx1150 LLVM 20.1.8), OpenGL ES 3.2)",24,8,bbb_sunflower_1min_480p_30fps_normal.mp4,480p,30,true,10,12,623,1165,1,60,frame,3,0.06666666666666667,0.1,0.03333333333333334,8.799999997019768,3,0,0,false,false,false,48.843031649073914,41.70000000298023,111.89999999850988,185.20000000298023,36.55810671513722,2,326.09999999403954,20.473749606387518,25.151847703068654,4.441247002152141,-0.0026477759406384536,0.0014178853535607994
2026-04-20T15:10:41.729Z,Chrome,144.0.0.0,Linux unknown,"ANGLE (AMD, AMD Radeon 890M Graphics (radeonsi gfx1150 LLVM 20.1.8), OpenGL ES 3.2)",24,8,bbb_sunflower_1min_480p_30fps_normal.mp4,480p,30,true,10,12,623,1165,1,60,frame,4,0.1,0.13333333333333333,0.033333333333333326,8,4,0,0,false,false,false,48.843031649073914,41.70000000298023,111.89999999850988,185.20000000298023,36.55810671513722,2,326.09999999403954,20.473749606387518,25.151847703068654,4.441247002152141,-0.0026477759406384536,0.0014178853535607994
2026-04-20T15:10:41.729Z,Chrome,144.0.0.0,Linux unknown,"ANGLE (AMD, AMD Radeon 890M Graphics (radeonsi gfx1150 LLVM 20.1.8), OpenGL ES 3.2)",24,8,bbb_sunflower_1min_480p_30fps_normal.mp4,480p,30,true,10,12,623,1165,1,60,frame,5,0.13333333333333333,0.16666666666666666,0.033333333333333326,9.899999998509884,5,0,0,false,false,false,48.843031649073914,41.70000000298023,111.89999999850988,185.20000000298023,36.55810671513722,2,326.09999999403954,20.473749606387518,25.151847703068654,4.441247002152141,-0.0026477759406384536,0.0014178853535607994
2026-04-20T15:10:41.729Z,Chrome,144.0.0.0,Linux unknown,"ANGLE (AMD, AMD Radeon 890M Graphics (radeonsi gfx1150 LLVM 20.1.8), OpenGL ES 3.2)",24,8,bbb_sunflower_1min_480p_30fps_normal.mp4,480p,30,true,10,12,623,1165,1,60,frame,6,0.16666666666666666,0.19999999999999998,0.033333333333333326,13.899999998509884,6,0,0,false,false,false,48.843031649073914,41.70000000298023,111.89999999850988,185.20000000298023,36.55810671513722,2,326.09999999403954,20.473749606387518,25.151847703068654,4.441247002152141,-0.0026477759406384536,0.0014178853535607994
2026-04-20T15:10:41.729Z,Chrome,144.0.0.0,Linux unknown,"ANGLE (AMD, AMD Radeon 890M Graphics (radeonsi gfx1150 LLVM 20.1.8), OpenGL ES 3.2)",24,8,bbb_sunflower_1min_480p_30fps_normal.mp4,480p,30,true,10,12,623,1165,1,60,frame,7,0.19999999999999998,0.2333333333333333,0.033333333333333326,15.800000004470348,7,0,0,false,false,false,48.843031649073914,41.70000000298023,111.89999999850988,185.20000000298023,36.55810671513722,2,326.09999999403954,20.473749606387518,25.151847703068654,4.441247002152141,-0.0026477759406384536,0.0014178853535607994
2026-04-20T15:10:41.729Z,Chrome,144.0.0.0,Linux unknown,"ANGLE (AMD, AMD Radeon 890M Graphics (radeonsi gfx1150 LLVM 20.1.8), OpenGL ES 3.2)",24,8,bbb_sunflower_1min_480p_30fps_normal.mp4,480p,30,true,10,12,623,1165,1,60,frame,8,0.2333333333333333,0.26666666666666666,0.033333333333333354,17.100000001490116,8,0,0,false,false,false,48.843031649073914,41.70000000298023,111.89999999850988,185.20000000298023,36.55810671513722,2,326.09999999403954,20.473749606387518,25.151847703068654,4.441247002152141,-0.0026477759406384536,0.0014178853535607994
2026-04-20T15:10:41.729Z,Chrome,144.0.0.0,Linux unknown,"ANGLE (AMD, AMD Radeon 890M Graphics (radeonsi gfx1150 LLVM 20.1.8), OpenGL ES 3.2)",24,8,bbb_sunflower_1min_480p_30fps_normal.mp4,480p,30,true,10,12,623,1165,1,60,frame,9,0.26666666666666666,0.3,0.033333333333333326,18.69999999552965,9,0,0,false,false,false,48.843031649073914,41.70000000298023,111.89999999850988,185.20000000298023,36.55810671513722,2,326.09999999403954,20.473749606387518,25.151847703068654,4.441247002152141,-0.0026477759406384536,0.0014178853535607994
